Date,Type,RefNo,Cur,TUPrice,ODAmt,Amt,Worth,Customer Code,StkISN,CatCode,Exchange Rate,Quantity,Profit,Country
1/21/2015,ICG,133545,S$,2.5,162,-162,-126.26,IC04,40246,PR16,1,64.8,35.74,Indonesia
1/21/2015,ICG,133546,S$,7,770,-770,-542.85,IT12,46094,PB,1,110,227.15,Indonesia
1/21/2015,ICG,133546,S$,2.5,674.5,-674.5,-525.63,IT12,30262,PR04,1,269.8,148.87,Indonesia
1/21/2015,ICG,133546,S$,2.5,697.25,-697.25,-566.36,IT12,10379,PR05,1,278.9,130.89,Indonesia
1/21/2015,ICG,133546,S$,2.5,771.75,-771.75,-613.56,IT12,10401,PR08,1,308.7,158.19,Indonesia
1/21/2015,ICG,133546,S$,2.5,325.75,-325.75,-281.41,IT12,30287,PR14,1,130.3,44.34,Indonesia
1/21/2015,ICG,133546,S$,4.6,294.4,-294.4,-236.75,IT12,40282,PPMR,1,64,57.65,Indonesia
1/21/2015,ICG,133546,S$,4.6,331.2,-331.2,-266.38,IT12,30337,PPMR,1,72,64.82,Indonesia
1/21/2015,ICG,133547,S$,110,110,-110,-65.66,SM01,40102,CL,1,1,44.34,Singapore
1/21/2015,ICG,133548,S$,5.6,1344,-1344,-893.59,IT26,40069,PN,1,240,450.41,Indonesia
1/21/2015,ICG,133548,S$,2.3,230,-230,-138.38,IT26,44953,FL,1,100,91.62,Indonesia
1/22/2015,ICG,133549,S$,5.6,4032,-4032,-2680.79,IT24,40069,PN,1,720,1351.21,Indonesia
1/22/2015,ICG,133549,S$,4.8,146.4,-146.4,-127.8,IT24,45127,SPL2.5,1,30.5,18.6,Indonesia
1/22/2015,ICG,133549,S$,4.8,150.24,-150.24,-130.67,IT24,45126,SPL2.5,1,31.3,19.57,Indonesia
1/22/2015,ICG,133549,S$,4.8,153.12,-153.12,-132.28,IT24,45125,SPL2.5,1,31.9,20.84,Indonesia
1/22/2015,ICG,133549,S$,4.8,172.8,-172.8,-151.02,IT24,45150,SPL3,1,36,21.78,Indonesia
1/22/2015,ICG,133549,S$,4.8,174.72,-174.72,-151.66,IT24,45128,SPL3,1,36.4,23.06,Indonesia
1/22/2015,ICG,133549,S$,4.8,175.2,-175.2,-152.42,IT24,45132,SPL3,1,36.5,22.78,Indonesia
1/22/2015,ICG,133549,S$,4.8,167.04,-167.04,-146.05,IT24,45129,SPL3,1,34.8,20.99,Indonesia
1/22/2015,ICG,133549,S$,4.8,171.84,-171.84,-147.19,IT24,45130,SPL3,1,35.8,24.65,Indonesia
1/22/2015,ICG,133549,S$,4.8,217.44,-217.44,-190.59,IT24,45154,SPL3.5,1,45.3,26.85,Indonesia
1/22/2015,ICG,133549,S$,4.8,219.84,-219.84,-190.05,IT24,45152,SPL3.5,1,45.8,29.79,Indonesia
1/21/2015,ICG,133550,S$,4.7,867.15,-867.15,-773.97,IJ01,45150,SPL3,1,184.5,93.18,Indonesia
1/21/2015,ICG,133550,S$,4.7,842.71,-842.71,-758.77,IJ01,45132,SPL3,1,179.3,83.94,Indonesia
1/21/2015,ICG,133550,S$,4.7,2538.94,-2538.94,-2267.08,IJ01,45129,SPL3,1,540.2,271.86,Indonesia
1/21/2015,ICG,133550,S$,4.7,810.28,-810.28,-728.96,IJ01,45130,SPL3,1,172.4,81.32,Indonesia
1/21/2015,ICG,133550,S$,4.7,1081.47,-1081.47,-965.34,IJ01,45154,SPL3.5,1,230.1,116.13,Indonesia
1/21/2015,ICG,133550,S$,4.7,1071.6,-1071.6,-947.77,IJ01,45152,SPL3.5,1,228,123.83,Indonesia
1/21/2015,ICG,133550,S$,4.7,1048.1,-1048.1,-943.11,IJ01,45151,SPL3.5,1,223,104.99,Indonesia
1/21/2015,ICG,133550,S$,4.7,1092.28,-1092.28,-968.11,IJ01,45153,SPL3.5,1,232.4,124.17,Indonesia
1/21/2015,ICG,133550,S$,11.05,39967.85,-39967.85,-31590.08,IJ01,46016,M020P,1,3617,8377.77,Indonesia
1/15/2015,ICX,921947,S$,3.2,115.2,-115.2,-70.08,CASH,30262,PR04,1,36,45.12,Singapore
1/15/2015,ICX,921947,S$,3.2,147.84,-147.84,-100.98,CASH,10362,U.N,1,46.2,46.86,Singapore
1/15/2015,ICX,921948,S$,4,12,-12,-5.81,CASH,43318,P9,1,3,6.19,Singapore
1/15/2015,ICX,921948,S$,0,0,0,-457.01,CASH,43621,TN,,,-457.01,Singapore
1/15/2015,ICX,921948,S$,0,0,0,-233.22,CASH,40476,TN,,,-233.22,Singapore
1/16/2015,ICX,921949,S$,4.8,144,-144,-109.01,CASH,40356,SN,1,30,34.99,Singapore
1/21/2015,ICX,921950,S$,3.2,435.84,-435.84,-275.88,CASH,43838,PR10,1,136.2,159.96,Singapore
1/23/2015,ICX,921951,S$,20,300,-300,-171.88,CASH,10394,PR07,1,15,128.12,Singapore
1/22/2015,ICX,921952,S$,3.2,73.6,-73.6,-45.55,CASH,30262,PR04,1,23,28.05,Singapore
1/22/2015,ICG,133551,M$,8.3,27818.28,-10710.04,-9249.68,MS10,40724,PPDR,2.597402,3351.6,1460.36,Malaysia
1/22/2015,ICG,133551,M$,8.3,9088.5,-3499.07,-2962.1,MS10,40860,PPDR,2.597404,1095,536.97,Malaysia
1/22/2015,ICG,133551,M$,8.3,5160.11,-1986.64,-1681.11,MS10,40725,PPDR,2.597406,621.7,305.53,Malaysia
1/22/2015,ICG,133551,M$,8.3,5184.18,-1995.91,-1680.81,MS10,40726,PPDR,2.597402,624.6,315.1,Malaysia
1/22/2015,ICG,133551,M$,8.3,7479.96,-2879.78,-2442.74,MS10,40861,PPDR,2.597407,901.2,437.04,Malaysia
1/22/2015,ICG,133551,M$,8.1,8443.44,-3250.72,-2701.91,MS10,40727,PPDR,2.597406,1042.4,548.81,Malaysia
1/22/2015,ICG,133551,M$,8.1,8463.69,-3258.52,-2814.79,MS10,41015,PPDR,2.597403,1044.9,443.73,Malaysia
1/22/2015,ICG,133551,M$,8.1,13201.38,-5082.53,-4340.94,MS10,40737,PPDR,2.597403,1629.8,741.59,Malaysia
1/22/2015,ICG,133552,S$,2.5,220,-220,-187.54,IY03,44591,PR20,1,88,32.46,Indonesia
1/22/2015,ICG,133552,S$,2.5,275,-275,-222.2,IY03,43874,PR22,1,110,52.8,Indonesia
1/22/2015,ICG,133552,S$,3.4,427.04,-427.04,-331.28,IY03,30053,PPDR,1,125.6,95.76,Indonesia
